sep=|
Dependency|Package Version|Requirement|Description|Date|License|URL|Source
blinker|1.9.0| Python >=3.9|Fast, simple object-to-object and broadcast signaling|08.11.2024| MIT License|https[:]//files[.]pythonhosted[.]org/packages/10/cb/f2ad4230dc2eb1a74edf38f1a38b9b52277f75bef262d8908e60d957e13c/blinker-1[.]9[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/blinker/
click|8.1.8| Python >=3.7|Composable command line interface toolkit|21.12.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/7e/d4/7ebdbd03970677812aac39c869717059dbb71a4cfc033ca6e5221787892c/click-8[.]1[.]8-py3-none-any[.]whl|https[:]//pypi[.]org/project/click/
contourpy|1.3.1| Python >=3.10|Python library for calculating contours of 2D quadrilateral grids|12.11.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/a8/7e/cd93cab453720a5d6cb75588cc17dcdc08fc3484b9de98b885924ff61900/contourpy-1[.]3[.]1-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/contourpy/
contourpy|1.3.1| Python >=3.10|Python library for calculating contours of 2D quadrilateral grids|12.11.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/85/fc/7fa5d17daf77306840a4e84668a48ddff09e6bc09ba4e37e85ffc8e4faa3/contourpy-1[.]3[.]1-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/contourpy/
cycler|0.12.1| Python >=3.8|Composable style cycles|07.10.2023| BSD License|https[:]//files[.]pythonhosted[.]org/packages/e7/05/c19819d5e3d95294a6f5947fb9b9629efb316b96de511b418c53d245aae6/cycler-0[.]12[.]1-py3-none-any[.]whl|https[:]//pypi[.]org/project/cycler/
Flask|3.1.0| Python >=3.9|A simple framework for building complex web applications.|13.11.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/af/47/93213ee66ef8fae3b93b3e29206f6b251e65c97bd91d8e1c5596ef15af0a/flask-3[.]1[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/Flask/
fonttools|4.56.0| Python >=3.8|Tools to manipulate font files|07.02.2025| MIT License|https[:]//files[.]pythonhosted[.]org/packages/bf/ff/44934a031ce5a39125415eb405b9efb76fe7f9586b75291d66ae5cbfc4e6/fonttools-4[.]56[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/fonttools/
imageio|2.37.0| Python >=3.9|Library for reading and writing a wide range of image, video, scientific, and volumetric data formats.|20.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/cb/bd/b394387b598ed84d8d0fa90611a90bee0adc2021820ad5729f7ced74a8e2/imageio-2[.]37[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/imageio/
itsdangerous|2.2.0| Python >=3.8|Safely pass data to untrusted environments and back.|16.04.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/04/96/92447566d16df59b2a776c0fb82dbc4d9e07cd95062562af01e408583fc4/itsdangerous-2[.]2[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/itsdangerous/
Jinja2|3.1.5| Python >=3.7|A very fast and expressive template engine.|21.12.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/bd/0f/2ba5fbcd631e3e88689309dbe978c5769e883e4b84ebfe7da30b43275c5a/jinja2-3[.]1[.]5-py3-none-any[.]whl|https[:]//pypi[.]org/project/Jinja2/
joblib|1.4.2| Python >=3.8|Lightweight pipelining with Python functions|02.05.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/91/29/df4b9b42f2be0b623cbd5e2140cafcaa2bef0759a00b7b70104dcfe2fb51/joblib-1[.]4[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/joblib/
kiwisolver|1.4.8| Python >=3.10|A fast implementation of the Cassowary constraint solver|24.12.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/2d/27/bdf1c769c83f74d98cbc34483a972f221440703054894a37d174fba8aa68/kiwisolver-1[.]4[.]8-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/kiwisolver/
kiwisolver|1.4.8| Python >=3.10|A fast implementation of the Cassowary constraint solver|24.12.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/3a/97/5edbed69a9d0caa2e4aa616ae7df8127e10f6586940aa683a496c2c280b9/kiwisolver-1[.]4[.]8-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/kiwisolver/
lazy_loader|0.4| Python >=3.7|Makes it easy to load subpackages and functions on demand.|05.04.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/83/60/d497a310bde3f01cb805196ac61b7ad6dc5dcf8dce66634dc34364b20b4f/lazy_loader-0[.]4-py3-none-any[.]whl|https[:]//pypi[.]org/project/lazy-loader/
MarkupSafe|3.0.2| Python >=3.9|Safely add untrusted strings to HTML/XML markup.|18.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/da/b8/3a3bd761922d416f3dc5d00bfbed11f66b1ab89a0c2b6e887240a30b0f6b/MarkupSafe-3[.]0[.]2-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/MarkupSafe/
MarkupSafe|3.0.2| Python >=3.9|Safely add untrusted strings to HTML/XML markup.|18.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/f1/a4/aefb044a2cd8d7334c8a47d3fb2c9f328ac48cb349468cc31c20b539305f/MarkupSafe-3[.]0[.]2-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/MarkupSafe/
matplotlib|3.10.0| Python >=3.10|Python plotting package|14.12.2024| Python Software Foundation License|https[:]//files[.]pythonhosted[.]org/packages/14/cf/e382598f98be11bf51dd0bc60eca44a517f6793e3dc8b9d53634a144620c/matplotlib-3[.]10[.]0-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/matplotlib/
matplotlib|3.10.0| Python >=3.10|Python plotting package|14.12.2024| Python Software Foundation License|https[:]//files[.]pythonhosted[.]org/packages/b2/7d/2d873209536b9ee17340754118a2a17988bc18981b5b56e6715ee07373ac/matplotlib-3[.]10[.]0-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/matplotlib/
networkx|3.4.2| Python >=3.10|Python package for creating and manipulating graphs and networks|21.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/b9/54/dd730b32ea14ea797530a4479b2ed46a6fb250f682a9cfb997e968bf0261/networkx-3[.]4[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/networkx/
numpy|2.2.3| Python >=3.10|Fundamental package for array computing in Python|13.02.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/b9/c6/cd4298729826af9979c5f9ab02fcaa344b82621e7c49322cd2d210483d3f/numpy-2[.]2[.]3-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/numpy/
numpy|2.2.3| Python >=3.10|Fundamental package for array computing in Python|13.02.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/e6/d7/3cd47b00b8ea95ab358c376cf5602ad21871410950bc754cf3284771f8b6/numpy-2[.]2[.]3-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/numpy/
packaging|24.2| Python >=3.8|Core utilities for Python packages|08.11.2024| Apache Software License|https[:]//files[.]pythonhosted[.]org/packages/88/ef/eb23f262cca3c0c4eb7ab1933c3b1f03d021f2c48f54763065b6f0e321be/packaging-24[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/packaging/
pandas|2.2.3| Python >=3.9|Powerful data structures for data analysis, time series, and statistics|20.09.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/ed/8c/87ddf1fcb55d11f9f847e3c69bb1c6f8e46e2f40ab1a2d2abadb2401b007/pandas-2[.]2[.]3-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/pandas/
pandas|2.2.3| Python >=3.9|Powerful data structures for data analysis, time series, and statistics|20.09.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/cd/5f/4dba1d39bb9c38d574a9a22548c540177f78ea47b32f99c0ff2ec499fac5/pandas-2[.]2[.]3-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/pandas/
patsy|1.0.1| Python >=3.6|A Python package for describing statistical models and for building design matrices.|12.11.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/87/2b/b50d3d08ea0fc419c183a84210571eba005328efa62b6b98bc28e9ead32a/patsy-1[.]0[.]1-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/patsy/
pillow|11.1.0| Python >=3.9|Python Imaging Library (Fork)|02.01.2025| CMU License|https[:]//files[.]pythonhosted[.]org/packages/3a/c6/fce9255272bcf0c39e15abd2f8fd8429a954cf344469eaceb9d0d1366913/pillow-11[.]1[.]0-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/pillow/
pillow|11.1.0| Python >=3.9|Python Imaging Library (Fork)|02.01.2025| CMU License|https[:]//files[.]pythonhosted[.]org/packages/e4/c2/e25199e7e4e71d64eeb869f5b72c7ddec70e0a87926398785ab944d92375/pillow-11[.]1[.]0-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/pillow/
psycopg|3.2.4| Python >=3.8|PostgreSQL database adapter for Python|15.01.2025| GNU Lesser General Public License|https[:]//files[.]pythonhosted[.]org/packages/40/49/15114d5f7ee68983f4e1a24d47e75334568960352a07c6f0e796e912685d/psycopg-3[.]2[.]4-py3-none-any[.]whl|https[:]//pypi[.]org/project/psycopg/
psycopg-binary|3.2.4| Python >=3.8|PostgreSQL database adapter for Python -- C optimisation distribution|15.01.2025| GNU Lesser General Public License|https[:]//files[.]pythonhosted[.]org/packages/12/c5/1be474bfa7282aa9177c3e498eb641b1441724f0155953f3872c69deddf0/psycopg_binary-3[.]2[.]4-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/psycopg-binary/
psycopg-binary|3.2.4| Python >=3.8|PostgreSQL database adapter for Python -- C optimisation distribution|15.01.2025| GNU Lesser General Public License|https[:]//files[.]pythonhosted[.]org/packages/af/7c/f5099ad491f78ba491e56cd686b38b0737eb09a719e919661a9f8d08e754/psycopg_binary-3[.]2[.]4-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/psycopg-binary/
psycopg-pool|3.2.4| Python >=3.8|Connection Pool for Psycopg|15.11.2024| GNU Lesser General Public License|https[:]//files[.]pythonhosted[.]org/packages/bb/28/2b56ac94c236ee033c7b291bcaa6a83089d0cc0fe7830c35f6521177c199/psycopg_pool-3[.]2[.]4-py3-none-any[.]whl|https[:]//pypi[.]org/project/psycopg-pool/
pyparsing|3.2.1| Python >=3.9|pyparsing module - Classes and methods to define and execute parsing grammars|31.12.2024| MIT License|https[:]//files[.]pythonhosted[.]org/packages/1c/a7/c8a2d361bf89c0d9577c934ebb7421b25dc84bf3a8e3ac0a40aed9acc547/pyparsing-3[.]2[.]1-py3-none-any[.]whl|https[:]//pypi[.]org/project/pyparsing/
python-dateutil|2.9.0.post0| Python !=3.0.*, !=3.1.*, !=3.2.*, >=2.7|Extensions to the standard Python datetime module|01.03.2024| Apache Software License|https[:]//files[.]pythonhosted[.]org/packages/ec/57/56b9bcc3c9c6a792fcbaf139543cee77261f3651ca9da0c93f5c1221264b/python_dateutil-2[.]9[.]0[.]post0-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/python-dateutil/
pytz|2025.1||World timezone definitions, modern and historical|31.01.2025| MIT License|https[:]//files[.]pythonhosted[.]org/packages/eb/38/ac33370d784287baa1c3d538978b5e2ea064d4c1b93ffbd12826c190dd10/pytz-2025[.]1-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/pytz/
scikit-image|0.25.1| Python >=3.10|Image processing in Python|26.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/35/80/faf325a7aef1d07067dab5ff7a890da229b42a641d2e85c98f3675cd36a2/scikit_image-0[.]25[.]1-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/scikit-image/
scikit-image|0.25.1| Python >=3.10|Image processing in Python|26.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/27/05/265b62ace7626de13edb7e97f0429a4faae2a95bbc2adb15a28fd5680aba/scikit_image-0[.]25[.]1-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/scikit-image/
scikit-learn|1.6.1| Python >=3.9|A set of python modules for machine learning and data mining|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/a1/a6/c5b78606743a1f28eae8f11973de6613a5ee87366796583fb74c67d54939/scikit_learn-1[.]6[.]1-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/scikit-learn/
scikit-learn|1.6.1| Python >=3.9|A set of python modules for machine learning and data mining|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/a8/f3/62fc9a5a659bb58a03cdd7e258956a5824bdc9b4bb3c5d932f55880be569/scikit_learn-1[.]6[.]1-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/scikit-learn/
scipy|1.15.1| Python >=3.10|Fundamental algorithms for scientific computing in Python|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/af/25/caa430865749d504271757cafd24066d596217e83326155993980bc22f97/scipy-1[.]15[.]1-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/scipy/
scipy|1.15.1| Python >=3.10|Fundamental algorithms for scientific computing in Python|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/fc/da/452e1119e6f720df3feb588cce3c42c5e3d628d4bfd4aec097bd30b7de0c/scipy-1[.]15[.]1-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/scipy/
seaborn|0.13.2| Python >=3.8|Statistical data visualization|25.01.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/83/11/00d3c3dfc25ad54e731d91449895a79e4bf2384dc3ac01809010ba88f6d5/seaborn-0[.]13[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/seaborn/
six|1.17.0| Python !=3.0.*, !=3.1.*, !=3.2.*, >=2.7|Python 2 and 3 compatibility utilities|04.12.2024| MIT License|https[:]//files[.]pythonhosted[.]org/packages/b7/ce/149a00dd41f10bc29e5921b496af8b574d8413afcd5e30dfa0ed46c2cc5e/six-1[.]17[.]0-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/six/
statsmodels|0.14.4| Python >=3.9|Statistical computations and models for Python|03.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/4b/e4/f9e96896278308e17dfd4f60a84826c48117674c980234ee38f59ab28a12/statsmodels-0[.]14[.]4-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/statsmodels/
statsmodels|0.14.4| Python >=3.9|Statistical computations and models for Python|03.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/9d/4f/a96e682f82b675e4a6f3de8ad990587d8b1fde500a630a2aabcaabee11d8/statsmodels-0[.]14[.]4-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/statsmodels/
threadpoolctl|3.5.0| Python >=3.8|threadpoolctl|29.04.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/4b/2c/ffbf7a134b9ab11a67b0cf0726453cedd9c5043a4fe7a35d1cefa9a1bcfb/threadpoolctl-3[.]5[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/threadpoolctl/
tifffile|2025.1.10| Python >=3.10|Read and write TIFF files|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/59/50/7bef6a1259a2c4b81823653a69d2d51074f7b8095db2abae5abee962ab87/tifffile-2025[.]1[.]10-py3-none-any[.]whl|https[:]//pypi[.]org/project/tifffile/
typing_extensions|4.12.2| Python >=3.8|Backported and Experimental Type Hints for Python 3.8+|07.06.2024| Python Software Foundation License|https[:]//files[.]pythonhosted[.]org/packages/26/9f/ad63fc0248c5379346306f8668cda6e2e2e9c95e01216d2b8ffd9ff037d0/typing_extensions-4[.]12[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/typing-extensions/
tzdata|2025.1| Python >=2|Provider of IANA time zone data|21.01.2025| Apache Software License|https[:]//files[.]pythonhosted[.]org/packages/0f/dd/84f10e23edd882c6f968c21c2434fe67bd4a528967067515feca9e611e5e/tzdata-2025[.]1-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/tzdata/
Werkzeug|3.1.3| Python >=3.9|The comprehensive WSGI web application library.|08.11.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/52/24/ab44c871b0f07f491e5d2ad12c9bd7358e527510618cb1b803a88e986db1/werkzeug-3[.]1[.]3-py3-none-any[.]whl|https[:]//pypi[.]org/project/Werkzeug/
